fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
2913,b8a85389d115e35a,Jack Shore,f97c5433c77522d3,Nohelin Hernandez,Jack Shore,Bantamweight Bout,3,3 Rnd (5-5-5),17,3,0,0,172.72,65.76,180.34,Orthodox,1995-02-06,3.6,0.58,2.31,0.56,3.22,0.39,0.74,0.6,9,4,0,0,177.8,61.22,180.34,Orthodox,1994-03-01,1.32,0.34,2.63,0.52,0.71,0.5,0.37,0.0
2914,cbf5e6f231b55443,Yair Rodriguez,18968f97ad34f15c,Jeremy Stephens,NC,Featherweight Bout,1,5 Rnd (5-5-5-5-5),21,6,0,1,180.34,65.76,180.34,Orthodox,1992-10-06,4.65,0.46,3.78,0.52,0.71,0.29,0.59,0.6,28,20,0,1,175.26,70.29,180.34,Orthodox,1986-05-25,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4
2915,d910665038efc639,Carla Esparza,e8b731feff72294b,Alexa Grasso,Carla Esparza,Women's Strawweight Bout,3,3 Rnd (5-5-5),20,8,0,0,154.94,52.15,160.02,Orthodox,1987-10-10,2.19,0.39,2.87,0.54,3.28,0.36,0.47,0.3,16,5,1,0,165.1,56.69,167.64,Orthodox,1993-08-09,4.11,0.41,3.73,0.58,0.41,0.35,0.54,0.6
2916,792be9a24df82ed6,Brandon Moreno,b1d19449397541dc,Askar Askarov,Draw,Flyweight Bout,3,3 Rnd (5-5-5),23,8,2,0,170.18,56.69,177.8,Orthodox,1993-12-07,3.96,0.44,3.62,0.6,1.51,0.44,0.64,0.4,14,1,1,0,167.64,56.69,170.18,Orthodox,1992-10-09,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4
2917,578ef12674df1e6a,Irene Aldana,9b7dfb3b7d99926a,Vanessa Melo,Irene Aldana,Women's Bantamweight Bout,3,3 Rnd (5-5-5),15,8,0,0,175.26,61.22,172.72,Orthodox,1988-03-26,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,11,8,0,0,165.1,61.22,165.1,Orthodox,1988-03-27,3.48,0.3,6.13,0.59,0.0,0.0,0.71,0.0
2918,9c44f290f5726d95,Martin Bravo,b93c06d09d1c4ac0,Steven Peterson,Steven Peterson,Featherweight Bout,2,3 Rnd (5-5-5),11,3,0,0,172.72,65.76,180.34,Southpaw,1993-09-21,7.66,0.39,5.72,0.51,2.6,0.35,0.85,0.0,19,11,0,0,177.8,65.76,177.8,Orthodox,1990-05-29,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7
2919,36549928f90f1d36,Jose Quinonez,225def29ecfe0fc1,Carlos Huachin,Jose Quinonez,Bantamweight Bout,3,3 Rnd (5-5-5),9,5,0,0,172.72,61.22,175.26,Southpaw,1990-07-28,3.6,0.45,3.0,0.64,2.7,0.47,0.42,0.6,10,5,1,0,162.56,61.22,170.18,Southpaw,1996-06-04,2.1,0.21,4.8,0.5,0.0,0.0,0.66,0.0
2920,edd02825c29028fe,Marco Polo Reyes,31f8081c7600da93,Kyle Nelson,Kyle Nelson,Featherweight Bout,1,3 Rnd (5-5-5),8,7,0,0,180.34,70.29,180.34,Orthodox,1984-11-07,6.0,0.37,5.52,0.59,0.0,0.0,0.46,0.0,16,6,1,0,180.34,65.76,180.34,Switch,1991-04-20,3.51,0.45,4.72,0.51,1.06,0.2,0.73,0.6
2921,c0d5c0c95c59050b,Ariane Carnelossi,f0feeb2192937424,Angela Hill,Angela Hill,Women's Strawweight Bout,3,3 Rnd (5-5-5),15,3,0,0,157.48,52.15,154.94,Orthodox,1992-11-17,2.87,0.39,4.74,0.45,1.37,0.55,0.14,0.3,18,14,0,0,160.02,52.15,162.56,Orthodox,1985-01-12,5.47,0.5,4.92,0.61,0.81,0.32,0.75,0.1
2922,de75d1c45a39e221,Sergio Pettis,6e00cfffd54653c4,Tyson Nam,Sergio Pettis,Flyweight Bout,3,3 Rnd (5-5-5),18,5,0,0,167.64,56.69,175.26,Orthodox,1993-08-18,3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4,21,14,1,0,170.18,56.69,172.72,Orthodox,1983-10-06,3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0
2923,acb36c908d415c4a,Vinicius Moreira,eabf206b162b3b83,Paul Craig,Paul Craig,Light Heavyweight Bout,1,3 Rnd (5-5-5),9,5,0,0,193.04,92.97,193.04,Orthodox,1989-02-28,3.15,0.59,5.07,0.43,1.97,0.18,0.0,1.3,17,9,1,1,190.5,92.97,193.04,Orthodox,1987-11-27,2.54,0.45,3.0,0.43,1.47,0.19,0.35,1.4
2924,4234f0097c83fa62,Sijara Eubanks,673ea7dcc786b1b3,Bethe Correia,Bethe Correia,Women's Bantamweight Bout,3,3 Rnd (5-5-5),8,7,0,0,162.56,56.69,170.18,Orthodox,1985-04-27,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3,11,6,1,0,165.1,61.22,162.56,Orthodox,1983-06-22,4.37,0.43,4.93,0.56,0.39,0.18,0.85,0.0
2925,d747eb273a40a920,Claudio Puelles,72e5e5a6edfa8223,Marcos Mariano,Claudio Puelles,Lightweight Bout,3,3 Rnd (5-5-5),13,4,0,0,177.8,70.29,182.88,Southpaw,1996-04-21,1.56,0.49,2.78,0.46,3.17,0.36,0.6,1.2,6,6,0,0,185.42,70.29,193.04,Switch,1986-10-12,0.25,0.27,2.11,0.43,0.0,0.0,0.28,0.0
2926,1d00756835ca67c9,Donald Cerrone,9e8f6c728eb01124,Justin Gaethje,Justin Gaethje,Lightweight Bout,1,5 Rnd (5-5-5-5-5),36,17,0,2,185.42,70.29,185.42,Orthodox,1983-03-29,4.41,0.46,4.48,0.53,1.16,0.33,0.73,1.2,26,5,0,0,180.34,70.29,177.8,Orthodox,1988-11-14,6.59,0.58,7.18,0.51,0.1,0.14,0.68,0.0
2927,7ff97850e8c32bda,Glover Teixeira,1091d4d957141094,Nikita Krylov,Glover Teixeira,Light Heavyweight Bout,3,3 Rnd (5-5-5),33,9,0,0,187.96,92.97,193.04,Orthodox,1979-10-28,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9,30,10,0,0,190.5,92.97,195.58,Orthodox,1992-03-07,4.33,0.54,2.49,0.44,2.24,0.38,0.53,1.4
